Modell,16 Epochen,32 Epochen,48 Epochen,64 Epochen,80 Epochen,96 Epochen,112 Epochen,128 Epochen,144 Epochen,160 Epochen,176 Epochen,192 Epochen,208 Epochen,224 Epochen,240 Epochen,256 Epochen,272 Epochen,288 Epochen
Modell 0,0.467497110366821,0.272500514984131,0.290000438690186,0.279998779296875,0.230002403259277,0.255000591278076,0.234997272491455,0.269997119903564,0.272500514984131,0.234997272491455,0.214999914169312,0.2174973487854,0.23999810218811,0.2174973487854,0.242501497268677,0.257498025894165,0.225001573562622,0.247502326965332
Modell 1,0.384998321533203,0.28499960899353,0.269997119903564,0.295001268386841,0.249999761581421,0.265002250671387,0.26249885559082,0.255000591278076,0.255000591278076,0.227499008178711,0.212502479553223,0.279998779296875,0.26249885559082,0.227499008178711,0.282502174377441,0.23999810218811,0.237500667572021,0.29749870300293
Modell 2,0.357502698898315,0.354999303817749,0.305002927780151,0.30750036239624,0.287497043609619,0.225001573562622,0.260001420974731,0.282502174377441,0.27499794960022,0.230002403259277,0.222498178482056,0.247502326965332,0.225001573562622,0.244998931884766,0.212502479553223,0.23999810218811,0.232499837875366,0.257498025894165
Modell 3,0.335001945495606,0.354999303817749,0.247502326965332,0.360000133514404,0.27499794960022,0.312501192092895,0.26249885559082,0.237500667572021,0.257498025894165,0.27499794960022,0.23999810218811,0.244998931884766,0.260001420974731,0.237500667572021,0.25249719619751,0.225001573562622,0.209999084472656,0.255000591278076
Modell 4,0.332498550415039,0.279998779296875,0.277501344680786,0.30750036239624,0.249999761581421,0.23999810218811,0.292497873306274,0.232499837875366,0.209999084472656,0.234997272491455,0.272500514984131,0.227499008178711,0.199997425079346,0.2174973487854,0.232499837875366,0.237500667572021,0.23999810218811,0.220000743865967
Modell 5,0.382500886917114,0.414997339248657,0.25249719619751,0.23999810218811,0.287497043609619,0.279998779296875,0.31999945640564,0.25249719619751,0.244998931884766,0.257498025894165,0.25249719619751,0.2174973487854,0.244998931884766,0.257498025894165,0.225001573562622,0.237500667572021,0.257498025894165,0.234997272491455
Modell 6,0.317502021789551,0.302499532699585,0.257498025894165,0.295001268386841,0.272500514984131,0.247502326965332,0.269997119903564,0.312501192092895,0.242501497268677,0.255000591278076,0.249999761581421,0.227499008178711,0.267499685287476,0.232499837875366,0.2174973487854,0.260001420974731,0.244998931884766,0.23999810218811
Modell 7,0.41000247001648,0.344997644424438,0.302499532699585,0.277501344680786,0.247502326965332,0.282502174377441,0.247502326965332,0.230002403259277,0.27499794960022,0.287497043609619,0.237500667572021,0.265002250671387,0.234997272491455,0.300002098083496,0.25249719619751,0.225001573562622,0.255000591278076,0.242501497268677
Modell 8,0.372499227523804,0.282502174377441,0.34250020980835,0.279998779296875,0.25249719619751,0.255000591278076,0.23999810218811,0.309997797012329,0.302499532699585,0.230002403259277,0.247502326965332,0.265002250671387,0.204998254776001,0.225001573562622,0.232499837875366,0.244998931884766,0.249999761581421,0.249999761581421
Modell 9,0.35250186920166,0.28499960899353,0.314998626708984,0.269997119903564,0.265002250671387,0.244998931884766,0.242501497268677,0.272500514984131,0.265002250671387,0.267499685287476,0.242501497268677,0.267499685287476,0.214999914169312,0.247502326965332,0.27499794960022,0.247502326965332,0.230002403259277,0.230002403259277
Ensemble,0.26249885559082,0.242501497268677,0.2174973487854,0.212502479553223,0.212502479553223,0.197499990463257,0.199997425079346,0.207501649856567,0.192499160766602,0.202500820159912,0.190001726150513,0.185000896453857,0.182497501373291,0.185000896453857,0.182497501373291,0.190001726150513,0.190001726150513,0.195002555847168
Best single Model,0.317502021789551,0.272500514984131,0.247502326965332,0.23999810218811,0.230002403259277,0.225001573562622,0.234997272491455,0.230002403259277,0.209999084472656,0.227499008178711,0.212502479553223,0.2174973487854,0.199997425079346,0.2174973487854,0.212502479553223,0.225001573562622,0.209999084472656,0.220000743865967
