Modell,256 Epochen,257 Epochen,258 Epochen,259 Epochen,260 Epochen,261 Epochen,262 Epochen,263 Epochen,264 Epochen,265 Epochen,266 Epochen,267 Epochen,268 Epochen,269 Epochen,270 Epochen,271 Epochen,272 Epochen
Modell 0,0.344997644424438,0.222498178482056,0.214999914169312,0.209999084472656,0.2174973487854,0.2174973487854,0.202500820159912,0.212502479553223,0.2174973487854,0.209999084472656,0.199997425079346,0.204998254776001,0.212502479553223,0.212502479553223,0.204998254776001,0.212502479553223,0.23999810218811
Modell 1,0.397497415542603,0.220000743865967,0.225001573562622,0.227499008178711,0.2174973487854,0.220000743865967,0.202500820159912,0.209999084472656,0.227499008178711,0.212502479553223,0.212502479553223,0.212502479553223,0.204998254776001,0.204998254776001,0.212502479553223,0.207501649856567,0.23999810218811
Modell 2,0.309997797012329,0.204998254776001,0.212502479553223,0.207501649856567,0.197499990463257,0.197499990463257,0.220000743865967,0.195002555847168,0.199997425079346,0.197499990463257,0.199997425079346,0.199997425079346,0.204998254776001,0.209999084472656,0.204998254776001,0.207501649856567,0.222498178482056
Modell 3,0.482499599456787,0.197499990463257,0.187498331069946,0.202500820159912,0.204998254776001,0.197499990463257,0.214999914169312,0.207501649856567,0.209999084472656,0.204998254776001,0.207501649856567,0.197499990463257,0.2174973487854,0.202500820159912,0.202500820159912,0.220000743865967,0.2174973487854
Modell 4,0.34250020980835,0.230002403259277,0.2174973487854,0.2174973487854,0.230002403259277,0.227499008178711,0.225001573562622,0.220000743865967,0.212502479553223,0.212502479553223,0.227499008178711,0.209999084472656,0.212502479553223,0.204998254776001,0.212502479553223,0.220000743865967,0.279998779296875
Modell 5,0.367498397827148,0.199997425079346,0.195002555847168,0.202500820159912,0.207501649856567,0.214999914169312,0.199997425079346,0.197499990463257,0.204998254776001,0.209999084472656,0.220000743865967,0.204998254776001,0.2174973487854,0.207501649856567,0.212502479553223,0.214999914169312,0.209999084472656
Modell 6,0.422501564025879,0.2174973487854,0.212502479553223,0.207501649856567,0.204998254776001,0.212502479553223,0.204998254776001,0.199997425079346,0.212502479553223,0.199997425079346,0.207501649856567,0.2174973487854,0.2174973487854,0.209999084472656,0.204998254776001,0.204998254776001,0.255000591278076
Modell 7,0.349998474121094,0.195002555847168,0.174999237060547,0.180000066757202,0.185000896453857,0.185000896453857,0.185000896453857,0.182497501373291,0.182497501373291,0.192499160766602,0.185000896453857,0.199997425079346,0.195002555847168,0.199997425079346,0.197499990463257,0.195002555847168,0.244998931884766
Modell 8,0.392502546310425,0.197499990463257,0.197499990463257,0.195002555847168,0.212502479553223,0.185000896453857,0.177502632141113,0.190001726150513,0.199997425079346,0.185000896453857,0.195002555847168,0.185000896453857,0.199997425079346,0.182497501373291,0.195002555847168,0.187498331069946,0.234997272491455
Modell 9,0.367498397827148,0.204998254776001,0.214999914169312,0.199997425079346,0.202500820159912,0.192499160766602,0.204998254776001,0.204998254776001,0.197499990463257,0.207501649856567,0.214999914169312,0.207501649856567,0.204998254776001,0.197499990463257,0.204998254776001,0.2174973487854,0.232499837875366
Ensemble,0.265002250671387,0.177502632141113,0.174999237060547,0.172501802444458,0.174999237060547,0.167500972747803,0.164997577667236,0.162500143051147,0.169998407363892,0.169998407363892,0.162500143051147,0.160002708435059,0.164997577667236,0.160002708435059,0.167500972747803,0.160002708435059,0.174999237060547
Best single Model,0.309997797012329,0.195002555847168,0.174999237060547,0.180000066757202,0.185000896453857,0.185000896453857,0.177502632141113,0.182497501373291,0.182497501373291,0.185000896453857,0.185000896453857,0.185000896453857,0.195002555847168,0.182497501373291,0.195002555847168,0.187498331069946,0.209999084472656
